Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.278808315	1.007623033	3325.600	4964.300	0.6211	4565.039	430.664	MYAX	C2	LOLA	25
2	Spectrogram 1	1	1.159255625	1.292147680	2313.400	9870.550	0.1045	6976.758	1894.922	HARU	C1	LOLA	25
3	Spectrogram 1	1	2.129913759	2.257708584	1735.100	6565.195	0.1103	5512.500	1464.258	HARU	C1	LOLA	25
4	Spectrogram 1	1	2.866345133	2.969063986	2988.200	6048.700	0.0871	5512.500	1291.992	HARU	C1	LOLA	25
5	Spectrogram 1	1	3.198958561	3.301677414	2554.400	8458.500	0.0813	5598.633	1291.992	HARU	C1	LOLA	25
6	Spectrogram 1	1	4.040274880	4.187016098	2144.800	5976.400	0.1219	5167.969	1205.859	HARU	C1	LOLA	25
7	Spectrogram 1	1	4.372888308	4.524520901	2433.900	5422.100	0.1277	4737.305	689.062	HARU	C1	LOLA	25
8	Spectrogram 1	1	5.043006539	5.154984699	2337.500	7425.462	0.0987	5426.367	1378.125	HARU	C1	LOLA	25
9	Spectrogram 1	1	5.247280962	5.365837219	2361.600	6429.363	0.0987	4995.703	1033.594	HARU	C1	LOLA	25
10	Spectrogram 1	1	5.439207829	5.526536322	2217.000	6202.977	0.0755	4995.703	775.195	HARU	C1	LOLA	25
11	Spectrogram 1	1	5.597533447	5.713124770	2771.300	7153.799	0.0929	5426.367	1033.594	HARU	C1	LOLA	25
12	Spectrogram 1	1	5.766929883	5.876788807	3253.300	7153.799	0.0929	5512.500	1119.727	HARU	C1	LOLA	25
13	Spectrogram 1	1	5.966718499	6.104434685	2723.100	7832.957	0.1161	5684.766	1378.125	HARU	C1	LOLA	25
14	Spectrogram 1	1	6.260958652	6.387968109	2650.800	7561.294	0.1045	5340.234	775.195	HARU	C1	LOLA	25
15	Spectrogram 1	1	6.520201471	6.642485819	2843.600	7663.300	0.1045	5598.633	1119.727	HARU	C1	LOLA	25
16	Spectrogram 1	1	6.823466655	6.955533752	2891.800	6627.000	0.1161	5426.367	1291.992	HARU	C1	LOLA	25
17	Spectrogram 1	1	7.288147180	7.415322903	2530.300	6916.200	0.1103	5598.633	1550.391	HARU	C1	LOLA	25
18	Spectrogram 1	1	7.454453895	7.542498626	2385.700	6795.700	0.0697	5426.367	1636.523	HARU	C1	LOLA	25
19	Spectrogram 1	1	7.948482663	8.060984264	3084.600	9543.000	0.0813	6373.828	1808.789	HARU	C1	LOLA	25
20	Spectrogram 1	1	8.295770213	8.383814944	2578.500	7398.200	0.0755	5943.164	1636.523	HARU	C1	LOLA	25
21	Spectrogram 1	1	8.535447537	8.652840511	2361.600	8723.600	0.0929	5598.633	1378.125	HARU	C1	LOLA	25
22	Spectrogram 1	1	8.921866078	9.044150427	2674.900	6675.200	0.0987	5081.836	689.062	HARU	C1	LOLA	25
23	Spectrogram 1	1	9.342524238	9.450134465	2747.200	6699.300	0.0755	5254.102	1205.859	HARU	C1	LOLA	25
24	Spectrogram 1	1	3.365265275	3.991361140	1831.500	3566.600	0.5457	3273.047	947.461	HARU	C4	LOLA	25
25	Spectrogram 1	1	12.483587738	13.168380091	2735.300	4150.900	0.5341	3789.844	430.664	MYLO	C4	LOLA	25
26	Spectrogram 1	1	16.387917776	17.454237297	2183.400	2855.200	0.8940	2583.984	172.266	HARU	C2	LOLA	25
27	Spectrogram 1	1	20.105361976	20.682544101	2539.791	4222.900	0.4354	3875.977	602.930	MYLO	C3	LOLA	25
28	Spectrogram 1	1	32.041764081	32.799927043	2879.200	4246.800	0.5747	3962.109	344.531	MYLO	C3	LOLA	25
29	Spectrogram 1	1	19.040032458	19.201447799	2351.400	5830.400	0.1451	4995.703	1033.594	HARU	C1	LOLA	25
30	Spectrogram 1	1	36.792761510	36.886505746	2903.200	7425.462	0.0639	5426.367	861.328	HARU	C1	LOLA	25
31	Spectrogram 1	1	37.038884878	37.151561680	2759.200	7108.522	0.0813	5340.234	947.461	HARU	C1	LOLA	25
32	Spectrogram 1	1	37.266075679	37.378752481	2807.200	7380.185	0.0871	5340.234	1464.258	HARU	C1	LOLA	25
33	Spectrogram 1	1	37.800920690	37.898636261	2855.200	7697.125	0.0755	5770.898	1464.258	HARU	C1	LOLA	25
34	Spectrogram 1	1	38.113308041	38.235451126	2855.200	7380.185	0.0813	5684.766	1291.992	HARU	C1	LOLA	25
35	Spectrogram 1	1	38.827997311	39.423442090	3001.571	4675.524	0.4992	4048.242	689.062	MYLO	C3	LOLA	25
36	Spectrogram 1	1	42.045000891	42.710227748	2855.200	4438.800	0.5224	4048.242	258.398	MYLO	C3	LOLA	25
37	Spectrogram 1	1	43.983005067	44.109160697	2807.200	6021.869	0.1045	5426.367	1808.789	HARU	C1	LOLA	25
38	Spectrogram 1	1	44.321424698	44.417317255	2759.200	6519.918	0.0755	5254.102	1722.656	HARU	C1	LOLA	25
39	Spectrogram 1	1	44.588847203	44.720582440	2159.400	7063.244	0.1103	5857.031	2497.852	HARU	C1	LOLA	25
40	Spectrogram 1	1	45.083460509	45.191538952	2639.300	6791.581	0.0871	5943.164	1464.258	HARU	C1	LOLA	25
