Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	2.260787371	3.436676777	1458.200	5656.100	0.8359	4478.906	1981.055	MYLO	C6	LOLA	12
2	Spectrogram 1	1	3.972126418	4.644063221	1148.900	3932.800	0.6327	2756.250	1119.727	MYLO	C2	LOLA	12
3	Spectrogram 1	1	6.241506211	6.682464739	1436.100	5302.600	0.3773	4306.641	1550.391	MYLO	C5	LOLA	12
4	Spectrogram 1	1	11.491175168	11.811254361	3181.600	5746.364	0.2902	4909.570	947.461	MYLO	C5	LOLA	12
5	Spectrogram 1	1	17.147784410	17.875715947	1436.100	5678.200	0.5457	4478.906	2153.320	MYLO	C6	LOLA	12
6	Spectrogram 1	1	24.064254091	24.876177729	1281.500	5479.400	0.6095	4392.773	1808.789	MYLO	C6	LOLA	12
7	Spectrogram 1	1	30.452482309	31.119486160	1347.700	5634.000	0.5863	4134.375	2411.719	MYLO	C6	LOLA	12
8	Spectrogram 1	1	34.217625936	34.847003928	1281.500	5391.000	0.5224	4306.641	2153.320	MYLO	C6	LOLA	12
9	Spectrogram 1	1	41.009793693	41.734225559	1369.800	5170.000	0.5747	4048.242	2325.586	MYLO	C6	LOLA	12
10	Spectrogram 1	1	45.055413198	46.031821366	1303.600	5545.600	0.6327	4306.641	1808.789	MYLO	C6	LOLA	12
11	Spectrogram 1	1	44.404474420	44.635452696	1414.000	4617.700	0.1625	3617.578	1808.789	MYLO	C5	LOLA	12
12	Spectrogram 1	1	54.620438458	55.502355512	1171.000	5302.600	0.7605	4306.641	2153.320	MYLO	C6	LOLA	12
