Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
12	Spectrogram 1	1	20.033585140	22.432434450	1142.230	2731.419	1.9505	2239.453	344.531	MYAX	S1	MODEL	10
21	Spectrogram 1	1	31.613896005	33.922296492	1324.669	3128.716	1.9447	2411.719	344.531	MYAX	S1	MODEL	10
27	Spectrogram 1	1	41.867794550	45.268680606	785.200	3336.900	2.8502	2756.250	861.328	MYAX	S1	MODEL	10
29	Spectrogram 1	1	50.654362198	52.333346550	958.947	2979.730	1.3816	2497.852	516.797	MYAX	S1	MODEL	10
35	Spectrogram 1	1	56.646750279	59.384801267	849.707	3128.716	2.2465	2239.453	344.531	MYAX	S1	MODEL	10
1	Spectrogram 1	1	1.093784043	1.672452666	1420.036	4338.998	0.4876	3273.047	775.195	MYLO	C4	MODEL	10
30	Spectrogram 1	1	52.645073890	52.905636828	943.581	4464.145	0.2206	3186.914	947.461	MYLO	C3	MODEL	10
31	Spectrogram 1	1	53.126732728	53.414062438	881.232	4121.959	0.2206	3273.047	1205.859	MYLO	C3	MODEL	10
32	Spectrogram 1	1	53.742202839	54.012800493	1832.331	3426.689	0.2032	2928.516	430.664	MYLO	C1	MODEL	10
33	Spectrogram 1	1	54.429759645	54.708270283	1130.718	4767.568	0.2380	3703.711	1464.258	MYLO	C3	MODEL	10
17	Spectrogram 1	1	25.580424220	25.999065548	1897.228	4974.952	0.3483	3962.109	1378.125	MYME	C1	MODEL	10
9	Spectrogram 1	1	16.906885330	17.030863470	2005.183	3259.007	0.0871	2928.516	344.531	MYSP	C1	MODEL	10
10	Spectrogram 1	1	17.247462644	17.353538513	2036.149	3626.507	0.0580	3186.914	344.531	MYSP	C1	MODEL	10
11	Spectrogram 1	1	19.408542978	19.485117718	2164.686	3894.098	0.0580	3359.180	516.797	MYSP	C1	MODEL	10
24	Spectrogram 1	1	37.350585495	37.452685145	1931.566	3531.272	0.0464	3273.047	172.266	MYSP	C1	MODEL	10
28	Spectrogram 1	1	46.543566883	46.700405204	1936.824	3840.346	0.1219	3186.914	344.531	MYSP	C1	MODEL	10
2	Spectrogram 1	1	3.332103129	3.680259357	2085.811	3960.005	0.2961	3100.781	344.531	THAR	B1	MODEL	10
3	Spectrogram 1	1	5.863042599	6.111690347	1291.216	2720.800	0.2148	2411.719	602.930	THAR	B1	MODEL	10
4	Spectrogram 1	1	6.130611989	6.414436618	2036.149	3625.338	0.2032	3100.781	430.664	THAR	B1	MODEL	10
5	Spectrogram 1	1	7.860150809	8.306600812	2001.803	3724.662	0.3599	3186.914	602.930	THAR	B2	MODEL	10
6	Spectrogram 1	1	11.184440357	11.636809793	1952.141	4221.284	0.3019	3186.914	516.797	THAR	B1	MODEL	10
7	Spectrogram 1	1	14.103909117	14.638135174	1639.604	4072.297	0.4412	3273.047	689.062	THAR	B2	MODEL	10
8	Spectrogram 1	1	15.993509522	16.365443962	1892.420	3967.715	0.3019	3359.180	516.797	THAR	B2	MODEL	10
13	Spectrogram 1	1	21.870723778	22.447210430	1903.703	4651.703	0.4586	3186.914	602.930	THAR	B2	MODEL	10
14	Spectrogram 1	1	23.561863755	23.933118127	1721.966	3774.324	0.2496	3100.781	516.797	THAR	B1	MODEL	10
15	Spectrogram 1	1	24.470167862	24.926555011	1410.604	4419.932	0.3599	2928.516	689.062	THAR	B2	MODEL	10
16	Spectrogram 1	1	25.098390947	25.418256095	1279.754	4618.581	0.2554	3703.711	1205.859	THAR	B2	MODEL	10
18	Spectrogram 1	1	26.605747980	26.766265786	2367.574	5181.074	0.1045	4737.305	1119.727	THAR	B2	MODEL	10
19	Spectrogram 1	1	27.936976301	28.374509663	1787.416	3724.662	0.3309	3100.781	516.797	THAR	B2	MODEL	10
20	Spectrogram 1	1	29.757041168	30.188186752	1702.655	3526.014	0.2728	2842.383	344.531	THAR	B2	MODEL	10
22	Spectrogram 1	1	34.188306507	34.641348750	1967.928	3675.000	0.3657	2928.516	516.797	THAR	B2	MODEL	10
23	Spectrogram 1	1	35.842947085	36.187434685	1572.980	3823.986	0.2322	3014.648	430.664	THAR	B2	MODEL	10
25	Spectrogram 1	1	38.057808631	38.416891496	1524.492	3972.973	0.2670	3014.648	430.664	THAR	B2	MODEL	10
26	Spectrogram 1	1	40.561801117	40.991421493	1770.454	3575.676	0.2728	3014.648	430.664	THAR	B2	MODEL	10
34	Spectrogram 1	1	55.533369002	55.845538096	1857.949	3774.324	0.2148	2928.516	344.531	THAR	B1	MODEL	10
36	Spectrogram 1	1	59.430753976	59.749395948	1390.541	4680.880	0.2496	3359.180	775.195	THAR	B2	MODEL	10
