Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.724403881	2.217699553	2051.200	7158.517	1.3003	5426.367	1205.859	THAR	P2	LOLA	18
2	Spectrogram 1	1	16.710595059	17.084745754	2035.800	4388.800	0.2728	2670.117	258.398	THAR	B2	LOLA	18
3	Spectrogram 1	1	19.759464106	20.094487930	1982.900	4679.700	0.2670	2756.250	344.531	THAR	B2	LOLA	18
4	Spectrogram 1	1	22.861370935	23.259975924	2009.400	4653.200	0.2961	2670.117	258.398	THAR	B2	LOLA	18
5	Spectrogram 1	1	25.968589588	26.343962997	2115.100	4706.100	0.2844	2756.250	344.531	THAR	B2	LOLA	18
6	Spectrogram 1	1	31.019062699	31.378540818	2194.400	4864.700	0.2902	2756.250	344.531	THAR	B2	LOLA	18
7	Spectrogram 1	1	35.142016529	35.499049218	1877.200	4732.600	0.2728	2756.250	344.531	THAR	B2	LOLA	18
8	Spectrogram 1	1	38.415404131	38.804227402	2009.400	5234.900	0.3193	3186.914	689.062	THAR	B2	LOLA	18
9	Spectrogram 1	1	42.525910333	42.879274878	1982.900	5287.800	0.2961	3014.648	516.797	THAR	B2	LOLA	18
10	Spectrogram 1	1	47.408691138	47.799959838	2088.700	5234.900	0.3077	3186.914	689.062	THAR	B2	LOLA	18
11	Spectrogram 1	1	50.089583269	50.433166096	2247.300	4996.900	0.2902	3186.914	689.062	THAR	B2	LOLA	18
12	Spectrogram 1	1	53.417451835	53.790379815	2168.000	4838.300	0.3077	3100.781	602.930	THAR	B2	LOLA	18
13	Spectrogram 1	1	57.575122741	57.967614157	2326.600	4996.900	0.3309	3273.047	689.062	THAR	B2	LOLA	18
