Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
1	Spectrogram 1	1	0.069488130	0.483637387	6401.613	7930.887	0.3251	7235.156	344.531	MYAX?		LOLA	3
2	Spectrogram 1	1	0.548956229	0.719897029	4267.742	9246.774	0.1509	6632.227	1464.258	MYME	C1	LOLA	3
3	Spectrogram 1	1	0.879629656	0.961416854	4528.942	9698.340	0.0639	6373.828	1033.594	MYME	C1	LOLA	3
4	Spectrogram 1	1	12.137633935	13.575656591	1707.097	3589.535	1.1726	2842.383	775.195	HARU	C2	LOLA	3
5	Spectrogram 1	1	15.439541424	17.347464613	1920.484	3627.581	1.6660	3186.914	1033.594	HARU	C2	LOLA	3
6	Spectrogram 1	1	21.258364999	22.248937246	1600.403	3734.274	0.8533	2842.383	775.195	HARU	C2	LOLA	3
7	Spectrogram 1	1	22.694725838	22.778182162	1280.323	4943.468	0.0580	4565.039	1205.859	HARU	C1	LOLA	3
8	Spectrogram 1	1	27.311862062	28.852752224	1422.581	3840.968	1.2887	3014.648	1033.594	HARU	C2	LOLA	3
9	Spectrogram 1	1	27.456783774	27.526887087	924.677	6267.324	0.0464	5512.500	947.461	HARU	C1	LOLA	3
10	Spectrogram 1	1	28.692361013	28.824222005	1707.097	6496.058	0.1161	5770.898	861.328	HARU	C1	LOLA	3
11	Spectrogram 1	1	30.809643225	31.485748092	1956.048	4018.790	0.6095	3273.047	1033.594	HARU	C2	LOLA	3
12	Spectrogram 1	1	31.359961140	31.580088306	995.806	6045.968	0.1916	5684.766	1378.125	HARU	C1	LOLA	3
13	Spectrogram 1	1	41.949469187	42.051285902	1849.355	8508.921	0.0871	6029.297	2583.984	HARU	C1	LOLA	3
14	Spectrogram 1	1	42.333368278	42.411817222	2311.694	9881.328	0.0639	6459.961	1722.656	HARU	C1	LOLA	3
15	Spectrogram 1	1	46.417049879	47.602129682	1635.968	6038.589	0.8533	4737.305	1119.727	MYME	C1	LOLA	3
