Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.254923114	0.388925927	2943.703	5917.318	0.1161	4823.438	516.797	THAR	P1	MODEL	16
2	Spectrogram 1	1	0.626602883	0.746423497	2221.662	6333.511	0.0987	5857.031	1464.258	THAR	P1	MODEL	16
3	Spectrogram 1	1	0.793774594	0.913386648	2407.712	5776.322	0.1045	5254.102	1378.125	THAR	P1	MODEL	16
4	Spectrogram 1	1	2.586728189	2.780281912	2332.746	6159.690	0.1567	5254.102	1981.055	THAR	B2	MODEL	16
5	Spectrogram 1	1	2.988817006	3.129922392	2277.204	5198.380	0.0929	4392.773	1205.859	THAR	B2	MODEL	16
6	Spectrogram 1	1	3.341645216	3.467777238	2277.204	6364.067	0.0929	5340.234	1636.523	THAR	P1	MODEL	16
7	Spectrogram 1	1	3.512346282	3.624919027	1777.330	6381.609	0.0929	5254.102	1464.258	THAR	P1	MODEL	16
8	Spectrogram 1	1	4.097567172	4.251580266	1555.164	7229.800	0.1103	5684.766	947.461	THAR	P2	MODEL	16
9	Spectrogram 1	1	4.368922702	4.503007128	1666.247	7626.175	0.0929	5770.898	1205.859	THAR	P2	MODEL	16
10	Spectrogram 1	1	4.655229893	4.791755165	2166.121	7467.034	0.0929	5857.031	689.062	THAR	P2	MODEL	16
11	Spectrogram 1	1	5.308226148	5.469429130	1666.247	7003.064	0.1161	5857.031	1205.859	THAR	P2	MODEL	16
12	Spectrogram 1	1	5.703386251	5.859488303	1055.290	3205.952	0.1335	2670.117	775.195	THAR	B1	MODEL	16
13	Spectrogram 1	1	6.592161894	6.818053215	1388.539	3968.286	0.1741	3100.781	516.797	THAR	B1	MODEL	16
14	Spectrogram 1	1	6.855018234	6.969302187	1332.997	3771.279	0.0987	3100.781	861.328	THAR	B1	MODEL	16
15	Spectrogram 1	1	8.485433174	8.725936793	1460.553	3760.354	0.1683	3100.781	344.531	THAR	B1	MODEL	16
16	Spectrogram 1	1	9.165274644	9.310858761	1610.705	6998.237	0.1045	5857.031	1119.727	THAR	P2	MODEL	16
17	Spectrogram 1	1	10.636398460	10.824684417	1388.539	3968.286	0.1335	3186.914	430.664	THAR	B1	MODEL	16
18	Spectrogram 1	1	11.732987917	11.885391492	1610.705	6724.609	0.1103	5857.031	1119.727	THAR	P2	MODEL	16
19	Spectrogram 1	1	12.052884660	12.239296546	888.665	3871.900	0.1393	3100.781	430.664	THAR	B1	MODEL	16
20	Spectrogram 1	1	12.354557359	12.502509042	1721.788	6588.974	0.0987	5943.164	861.328	THAR	P2	MODEL	16
21	Spectrogram 1	1	13.497004640	13.679192774	1499.622	3968.286	0.1509	3100.781	516.797	THAR	B1	MODEL	16
22	Spectrogram 1	1	15.320258390	15.510332918	999.748	4200.000	0.1277	3186.914	430.664	THAR	B1	MODEL	16
23	Spectrogram 1	1	15.604104081	15.738188512	1166.373	3753.754	0.1045	3014.648	775.195	THAR	B1	MODEL	16
24	Spectrogram 1	1	16.227292330	16.415862476	1666.247	3887.909	0.1451	3100.781	430.664	THAR	B1	MODEL	16
25	Spectrogram 1	1	17.393297071	17.522939046	1332.997	3887.909	0.0987	3100.781	258.398	THAR	B1	MODEL	16
26	Spectrogram 1	1	18.141536297	18.260235802	898.941	6109.572	0.0929	4909.570	2411.719	HARU	C1	MODEL	16
27	Spectrogram 1	1	18.564698018	18.790589339	1499.622	3776.826	0.1567	3186.914	430.664	THAR	B1	MODEL	16
28	Spectrogram 1	1	18.589442399	18.712018445	1673.009	6387.280	0.0987	3703.711	861.328	HARU	C1	MODEL	16
29	Spectrogram 1	1	19.005531780	19.085230193	838.003	6942.695	0.0464	5598.633	861.328	HARU	C1	MODEL	16
30	Spectrogram 1	1	19.474633512	19.558619832	1183.886	6331.738	0.0639	5598.633	602.930	HARU	C1	MODEL	16
31	Spectrogram 1	1	19.999573376	20.112544638	935.280	4998.741	0.0871	4134.375	1464.258	HARU	C1	MODEL	16
32	Spectrogram 1	1	20.121875560	20.303162853	999.748	4331.200	0.1393	3186.914	344.531	THAR	B1	MODEL	16
33	Spectrogram 1	1	20.347211680	20.560482532	944.207	4200.000	0.1800	3359.180	1205.859	THAR	B1	MODEL	16
34	Spectrogram 1	1	21.854938018	22.055293799	1277.456	4221.159	0.1451	3273.047	602.930	THAR	B1	MODEL	16
35	Spectrogram 1	1	22.613333612	22.794046669	1221.914	4344.200	0.1509	3445.312	1119.727	THAR	B1	MODEL	16
36	Spectrogram 1	1	22.610857332	22.717440047	1622.667	6553.904	0.0813	6029.297	1894.922	HARU	C1	MODEL	16
37	Spectrogram 1	1	22.913030099	23.110294520	1656.168	4054.534	0.1393	3186.914	344.531	THAR	B1	MODEL	16
38	Spectrogram 1	1	23.108845162	23.200651048	1259.421	6220.655	0.0813	5512.500	1981.055	HARU	C1	MODEL	16
39	Spectrogram 1	1	23.640896664	23.736897403	1816.879	6498.363	0.0755	6029.297	2670.117	HARU	C1	MODEL	16
40	Spectrogram 1	1	23.984077237	24.237468371	1444.081	4146.700	0.2032	3186.914	602.930	THAR	B1	MODEL	16
41	Spectrogram 1	1	25.028901141	25.115498116	1718.487	6831.612	0.0639	5943.164	1119.727	HARU	C1	MODEL	16
42	Spectrogram 1	1	25.333292500	25.579066394	1388.539	4278.400	0.1800	3100.781	516.797	THAR	B1	MODEL	16
43	Spectrogram 1	1	26.092980223	26.179445719	1131.829	6887.154	0.0580	6115.430	1291.992	HARU	C1	MODEL	16
44	Spectrogram 1	1	26.463248240	26.635156907	1221.914	4015.100	0.1161	3100.781	344.531	THAR	B1	MODEL	16
45	Spectrogram 1	1	27.273317460	27.391401766	2647.928	6442.821	0.0871	5684.766	947.461	HARU	C1	MODEL	16
46	Spectrogram 1	1	27.643959696	27.814851391	999.748	4110.076	0.1219	3100.781	430.664	THAR	B1	MODEL	16
47	Spectrogram 1	1	27.997511397	28.091813794	2791.976	6776.071	0.0755	5857.031	947.461	HARU	C1	MODEL	16
48	Spectrogram 1	1	28.129134969	28.341276384	1388.539	3221.411	0.1741	2670.117	602.930	THAR	B1	MODEL	16
49	Spectrogram 1	1	28.930558092	29.077878519	2888.161	7275.945	0.1219	7062.891	1291.992	HARU	C1	MODEL	16
50	Spectrogram 1	1	29.259927010	29.438048295	1277.456	4344.200	0.1393	3273.047	602.930	THAR	B1	MODEL	16
51	Spectrogram 1	1	29.313499285	29.398762848	2024.702	6498.363	0.0755	5943.164	2928.516	HARU	C1	MODEL	16
52	Spectrogram 1	1	29.795545865	30.033222820	1444.081	2832.620	0.1916	2411.719	516.797	THAR	B1	MODEL	16
53	Spectrogram 1	1	29.707497536	29.811260043	1769.586	6442.821	0.0755	5598.633	1808.789	HARU	C1	MODEL	16
54	Spectrogram 1	1	30.117267942	30.221792967	2259.202	6165.113	0.0639	5340.234	1636.523	HARU	C1	MODEL	16
55	Spectrogram 1	1	30.341613581	30.545897906	1053.100	3887.909	0.1509	3186.914	344.531	THAR	B1	MODEL	16
56	Spectrogram 1	1	30.610014359	30.726610964	1960.977	6720.529	0.0929	5684.766	1981.055	HARU	C1	MODEL	16
57	Spectrogram 1	1	31.175152912	31.337499668	2143.839	6609.446	0.1045	5684.766	947.461	THAR	P2	MODEL	16
58	Spectrogram 1	1	32.009377078	32.119508979	1979.419	6387.280	0.0813	5684.766	775.195	HARU	C1	MODEL	16
59	Spectrogram 1	1	32.418078378	32.581112984	1555.164	3388.035	0.1335	2842.383	602.930	THAR	B1	MODEL	16
60	Spectrogram 1	1	32.472850040	32.600755707	2279.769	6609.446	0.0813	5684.766	861.328	HARU	C1	MODEL	16
61	Spectrogram 1	1	32.679156625	32.948431915	1347.585	3665.743	0.2032	3014.648	602.930	THAR	B1	MODEL	16
62	Spectrogram 1	1	32.995060547	33.091823798	2322.977	6553.904	0.0697	5598.633	1378.125	HARU	C1	MODEL	16
63	Spectrogram 1	1	34.096605850	34.233973195	999.748	3949.300	0.1161	3100.781	861.328	THAR	B1	MODEL	16
64	Spectrogram 1	1	34.201226190	34.469685878	888.665	3776.826	0.1916	3100.781	602.930	THAR	B1	MODEL	16
65	Spectrogram 1	1	35.475530182	35.730885589	1332.997	4054.534	0.1916	3100.781	430.664	THAR	B1	MODEL	16
66	Spectrogram 1	1	35.724084603	35.831971647	1618.089	3936.067	0.0929	3359.180	1033.594	THAR	B1	MODEL	16
67	Spectrogram 1	1	36.679874642	36.776637893	2417.528	6442.821	0.0755	5943.164	1291.992	HARU	C1	MODEL	16
68	Spectrogram 1	1	37.261813166	37.609489374	1055.290	4443.325	0.2786	3273.047	861.328	THAR	B1	MODEL	16
69	Spectrogram 1	1	38.380720860	38.705717528	999.748	3943.451	0.2322	3014.648	602.930	THAR	B1	MODEL	16
70	Spectrogram 1	1	39.554283188	39.837138408	1499.622	3998.992	0.2206	3273.047	689.062	THAR	B1	MODEL	16
71	Spectrogram 1	1	39.673055887	39.775711960	3145.842	7053.778	0.0813	6287.695	2067.188	HARU	C1	MODEL	16
72	Spectrogram 1	1	40.132981565	40.284458501	1465.137	6442.821	0.1161	5770.898	1894.922	HARU	C1	MODEL	16
73	Spectrogram 1	1	41.371952681	41.737307340	1316.400	3887.909	0.2844	3186.914	516.797	THAR	B1	MODEL	16
74	Spectrogram 1	1	41.903280015	42.014269743	1899.161	7109.320	0.0929	6115.430	1464.258	HARU	C1	MODEL	16
75	Spectrogram 1	1	41.973707874	42.139983174	1505.911	3443.577	0.1393	2670.117	516.797	THAR	B1	MODEL	16
76	Spectrogram 1	1	42.605533666	42.917852971	1316.400	4221.159	0.2496	3273.047	516.797	THAR	B1	MODEL	16
77	Spectrogram 1	1	42.534782528	42.623212117	2055.038	4776.574	0.0639	3789.844	516.797	HARU	C1	MODEL	16
78	Spectrogram 1	1	43.069350556	43.181065468	1841.660	6942.695	0.0871	5943.164	1205.859	HARU	C1	MODEL	16
79	Spectrogram 1	1	43.374633266	43.518920314	1948.414	6387.280	0.0987	5857.031	1291.992	THAR	P2	MODEL	16
80	Spectrogram 1	1	44.131018434	44.225873450	2621.317	6109.572	0.0755	5598.633	1636.523	HARU	C1	MODEL	16
81	Spectrogram 1	1	44.176863805	44.467381786	1188.164	4032.742	0.2322	3186.914	516.797	THAR	B1	MODEL	16
82	Spectrogram 1	1	44.789486973	44.887833235	1860.037	7331.486	0.0813	7235.156	1378.125	HARU	C1	MODEL	16
83	Spectrogram 1	1	45.165578804	45.314080338	1740.771	6887.154	0.1335	6115.430	1894.922	HARU	C1	MODEL	16
84	Spectrogram 1	1	45.435827890	45.545864476	1843.620	7109.320	0.0755	6201.562	1033.594	HARU	C1	MODEL	16
