Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	1.659976401	1.739048864	3520.588	6735.945	0.0639	6201.562	947.461	THAR	P1	MODEL	18
2	Spectrogram 1	1	1.909341322	1.984118080	3752.206	6842.187	0.0580	6287.695	775.195	THAR	P1	MODEL	18
3	Spectrogram 1	1	2.110472607	2.184415036	3613.235	6748.835	0.0639	6201.562	1033.594	THAR	P1	MODEL	18
5	Spectrogram 1	1	23.141075847	23.279340473	1482.353	4394.752	0.1103	3617.578	1636.523	MYAX	C3	MODEL	18
6	Spectrogram 1	1	23.730140953	23.877874906	1436.029	4462.401	0.1045	3703.711	1722.656	MYAX	C3	MODEL	18
7	Spectrogram 1	1	25.096730652	25.224400754	1389.706	4379.436	0.0755	3962.109	1808.789	MYAX	C3	MODEL	18
8	Spectrogram 1	1	29.071919542	29.185830370	1621.324	4543.405	0.0639	3962.109	258.398	MYAX	C3	MODEL	18
9	Spectrogram 1	1	31.921305875	32.087054515	2038.235	5925.183	0.1451	5512.500	602.930	MYAX	C2	MODEL	18
10	Spectrogram 1	1	33.268144022	33.411370858	1528.676	4321.439	0.0929	3962.109	775.195	MYAX	C3	MODEL	18
11	Spectrogram 1	1	33.848692313	33.988545412	1389.706	4349.613	0.0929	3962.109	430.664	MYAX	C3	MODEL	18
12	Spectrogram 1	1	35.512671780	35.635301249	1575.000	3266.282	0.1045	2842.383	689.062	THAR	B1	MODEL	18
13	Spectrogram 1	1	36.241671518	37.023241332	1812.883	4301.822	0.6850	3703.711	1033.594	MYLO	C2	MODEL	18
14	Spectrogram 1	1	37.690683802	37.805554635	1389.706	4232.466	0.0755	3962.109	430.664	MYAX	C3	MODEL	18
15	Spectrogram 1	1	38.791756316	38.927217588	1343.382	4460.997	0.0697	3962.109	172.266	MYAX	C3	MODEL	18
16	Spectrogram 1	1	39.220951147	39.323105359	1343.382	3493.801	0.0871	2842.383	602.930	THAR	B1	MODEL	18
17	Spectrogram 1	1	41.138856920	41.262258322	1436.029	4470.424	0.0813	4048.242	344.531	MYAX	C3	MODEL	18
18	Spectrogram 1	1	43.003202473	43.193056648	1621.324	3110.152	0.1683	2756.250	602.930	THAR	B1	MODEL	18
19	Spectrogram 1	1	43.789922721	43.923551428	1204.412	4446.432	0.0639	4048.242	172.266	MYAX	C3	MODEL	18
20	Spectrogram 1	1	45.297715998	45.421074059	1204.412	4724.509	0.0697	3962.109	172.266	THAR	B1	MODEL	18
21	Spectrogram 1	1	45.767182699	46.559232055	1826.087	4976.087	0.5631	4565.039	1205.859	MYLO	C2	MODEL	18
22	Spectrogram 1	1	46.912156121	47.067144640	1343.382	3491.856	0.1393	2842.383	775.195	THAR	B1	MODEL	18
23	Spectrogram 1	1	47.732774940	48.801480634	2501.471	4539.706	0.9056	3962.109	516.797	MYLO	C2	MODEL	18
24	Spectrogram 1	1	49.128944556	49.259415257	972.794	4430.144	0.0987	3962.109	1378.125	MYAX	C3	MODEL	18
25	Spectrogram 1	1	51.020192064	51.243343833	1297.059	3405.203	0.1916	2842.383	861.328	THAR	B1	MODEL	18
26	Spectrogram 1	1	54.844004602	54.960726751	1389.706	4331.453	0.0813	3962.109	861.328	MYAX	C3	MODEL	18
27	Spectrogram 1	1	55.782125681	55.903300660	1019.118	4655.718	0.0755	3962.109	344.531	MYAX	C3	MODEL	18
28	Spectrogram 1	1	59.081043901	59.216530852	1389.706	4592.921	0.0871	3962.109	258.398	MYAX	C3	MODEL	18
