Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
1	Spectrogram 1	1	0.100045348	0.663045641	1529.274	4054.355	0.4354	3617.578	1291.992	HARU	C2	LOLA	2
2	Spectrogram 1	1	0.153010533	0.230888034	951.799	7852.338	0.0522	5770.898	1464.258	THAR	P1	LOLA	2
3	Spectrogram 1	1	0.855289643	0.945934139	2169.435	7041.774	0.0464	5857.031	1205.859	THAR	P1	LOLA	2
4	Spectrogram 1	1	2.467018629	3.108485861	1387.016	4481.129	0.5747	3789.844	1808.789	MYLO	C2	LOLA	2
5	Spectrogram 1	1	4.118959955	4.672151880	1529.274	4552.258	0.4005	2928.516	430.664	THAR	B2	LOLA	2
6	Spectrogram 1	1	14.064530399	14.425478322	1493.710	4552.258	0.2844	3186.914	689.062	THAR	B2	LOLA	2
7	Spectrogram 1	1	29.574243125	29.642901697	1280.323	3840.968	0.0406	3531.445	947.461	MYSP	C1	LOLA	2
8	Spectrogram 1	1	44.846984532	44.935259839	1671.532	4872.339	0.0464	4565.039	1464.258	MYSP	C1	LOLA	2
9	Spectrogram 1	1	45.215779149	45.319747844	746.855	4907.903	0.0755	4565.039	2325.586	MYSP	C1	LOLA	2
10	Spectrogram 1	1	47.005629247	47.242991740	1778.226	3520.887	0.1683	2928.516	430.664	THAR	B2	LOLA	2
11	Spectrogram 1	1	47.437205277	47.590215810	1778.226	7041.774	0.1103	6373.828	1119.727	THAR	P1	LOLA	2
12	Spectrogram 1	1	49.267462371	50.509201692	4516.694	7077.339	0.9346	6373.828	344.531	EPHA	S1	LOLA	2
13	Spectrogram 1	1	57.008681717	57.071455269	1564.839	4730.081	0.0406	4134.375	1808.789	MYSP	C1	LOLA	2
