Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.374178283	0.459431789	1915.619	7434.395	0.0639	5943.164	1894.922	THAR	P2	LOLA	14
2	Spectrogram 1	1	0.496458768	0.544294095	1671.072	6628.810	0.0406	5512.500	1205.859	THAR	P2	LOLA	14
3	Spectrogram 1	1	0.589024626	0.688650355	1426.525	6030.376	0.0813	5598.633	1291.992	THAR	P2	LOLA	14
4	Spectrogram 1	1	0.759707898	0.918200473	1793.346	6605.793	0.1219	6201.562	1464.258	THAR	P2	LOLA	14
5	Spectrogram 1	1	1.043624764	1.161949568	1711.830	6974.061	0.0987	6287.695	1550.391	THAR	P2	LOLA	14
7	Spectrogram 1	1	1.265064254	1.395849415	1315.165	6812.944	0.1045	6287.695	1205.859	THAR	P2	LOLA	14
8	Spectrogram 1	1	1.518723620	1.639184829	2350.508	7135.177	0.0987	6373.828	1291.992	THAR	P2	LOLA	14
9	Spectrogram 1	1	1.420899233	2.105093692	923.414	5428.553	0.5747	5167.969	1722.656	HARU	C2	LOLA	14
10	Spectrogram 1	1	11.268476163	11.517496399	2168.500	3993.476	0.2090	3273.047	861.328	THAR	B2	LOLA	14
13	Spectrogram 1	1	15.454751578	16.165617712	2834.080	4122.298	0.5108	3789.844	344.531	MYLO	C4	LOLA	14
14	Spectrogram 1	1	21.535674313	21.736273948	1739.094	2898.491	0.1683	2411.719	344.531	THAR	B2	LOLA	14
15	Spectrogram 1	1	25.226709508	25.645201850	1846.446	3199.075	0.3541	2670.117	516.797	THAR	B2	LOLA	14
16	Spectrogram 1	1	26.350759188	26.563463973	1996.738	3177.605	0.1683	2842.383	516.797	THAR	B1	LOLA	14
17	Spectrogram 1	1	28.426844832	28.783082115	1717.624	3413.778	0.3077	2756.250	689.062	THAR	B2	LOLA	14
18	Spectrogram 1	1	29.556082433	29.876004264	1782.035	3220.545	0.2670	2670.117	516.797	THAR	B1	LOLA	14
19	Spectrogram 1	1	30.548704765	31.095165840	1502.921	4057.887	0.4528	2497.852	689.062	THAR	B2	LOLA	14
20	Spectrogram 1	1	31.238070936	31.634082284	1867.916	3156.134	0.3425	2583.984	430.664	THAR	B2	LOLA	14
21	Spectrogram 1	1	32.652644225	33.095346868	1846.446	3800.243	0.3773	3014.648	775.195	THAR	B2	LOLA	14
22	Spectrogram 1	1	33.638349328	34.100074350	1824.976	4766.407	0.3831	3703.711	1550.391	THAR	B2	LOLA	14
23	Spectrogram 1	1	34.793711438	35.203557244	1953.797	3048.783	0.3251	2411.719	172.266	THAR	B2	LOLA	14
24	Spectrogram 1	1	36.239933782	36.836544765	1374.099	4594.645	0.4644	2756.250	775.195	THAR	B2	LOLA	14
25	Spectrogram 1	1	37.935702254	38.400885890	1996.738	2984.372	0.3889	2583.984	344.531	THAR	B2	LOLA	14
26	Spectrogram 1	1	39.210201659	39.566438942	1696.154	4100.828	0.3077	2756.250	602.930	THAR	B2	LOLA	14
27	Spectrogram 1	1	40.349815104	40.839209041	2125.560	3886.125	0.4296	2670.117	344.531	THAR	B2	LOLA	14
28	Spectrogram 1	1	41.565029594	41.995627086	1550.391	4659.056	0.3715	3531.445	1378.125	THAR	B2	LOLA	14
29	Spectrogram 1	1	42.166828499	42.490208945	1996.738	3242.016	0.2438	2497.852	172.266	THAR	B1	LOLA	14
30	Spectrogram 1	1	43.881880113	44.314206913	1889.387	3263.486	0.3367	2583.984	344.531	THAR	B1	LOLA	14
32	Spectrogram 1	1	44.564956456	45.031869400	1975.268	5109.932	0.3715	4220.508	1894.922	THAR	B2	LOLA	14
33	Spectrogram 1	1	45.449688401	45.823218756	1824.976	3156.134	0.2961	2497.852	258.398	THAR	B1	LOLA	14
34	Spectrogram 1	1	46.456145191	46.921328828	1653.213	4014.946	0.3947	2583.984	689.062	THAR	B2	LOLA	14
35	Spectrogram 1	1	46.977772123	51.981489558	2125.560	3993.476	3.0070	3359.180	258.398	THAR	S1	LOLA	14
36	Spectrogram 1	1	53.109599951	53.385953846	1889.387	2919.961	0.2264	2583.984	344.531	THAR	B1	LOLA	14
37	Spectrogram 1	1	54.356860895	54.816635517	1867.916	4272.590	0.3889	3789.844	1464.258	THAR	B2	LOLA	14
38	Spectrogram 1	1	56.315719970	56.614084352	1975.268	2834.080	0.2438	2497.852	344.531	THAR	B1	LOLA	14
39	Spectrogram 1	1	57.245051654	57.719499934	2018.208	4701.996	0.3831	3789.844	1550.391	THAR	B2	LOLA	14
40	Spectrogram 1	1	57.814878713	58.091232608	1910.857	3134.664	0.2322	2670.117	430.664	THAR	B1	LOLA	14
41	Spectrogram 1	1	59.284690139	59.803159394	2018.208	4701.996	0.4180	3617.578	1291.992	THAR	B2	LOLA	14
