Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	1.215707406	1.342694104	1640.100	5430.500	0.1103	5254.102	1894.922	MYLO	C5	MODEL	8
2	Spectrogram 1	1	1.457470542	1.633298278	1457.900	5539.800	0.1509	5426.367	1119.727	MYLO	C5	MODEL	8
3	Spectrogram 1	1	9.662305533	9.779524023	1895.200	2769.900	0.0522	2411.719	172.266	MYSP	C1	MODEL	8
4	Spectrogram 1	1	11.877860776	12.029267993	1494.300	2624.100	0.1103	2411.719	516.797	MYSP	C1	MODEL	8
5	Spectrogram 1	1	28.094008716	28.416359565	1627.000	2868.600	0.2438	2411.719	344.531	HARU	C3	MODEL	8
6	Spectrogram 1	1	26.307757916	26.454281029	1627.000	2868.600	0.1103	2497.852	172.266	MYSP	C1	MODEL	8
7	Spectrogram 1	1	27.108750933	27.416449471	1669.800	3039.900	0.2090	2497.852	516.797	MYSP	C1	MODEL	8
8	Spectrogram 1	1	34.861868582	35.067000940	1755.400	3339.600	0.1567	2670.117	172.266	MYSP	C1	MODEL	8
9	Spectrogram 1	1	36.532118150	36.649336641	1798.300	3211.200	0.0871	2583.984	172.266	MYSP	C1	MODEL	8
10	Spectrogram 1	1	38.478582606	38.649526238	1926.700	3254.000	0.1219	2842.383	172.266	MYSP	C1	MODEL	8
11	Spectrogram 1	1	39.015834021	39.250271002	1370.100	3254.000	0.1916	2670.117	344.531	MYSP	C1	MODEL	8
13	Spectrogram 1	1	40.412687698	40.583631330	1541.400	2954.300	0.1393	2670.117	430.664	MYSP	C1	MODEL	8
14	Spectrogram 1	1	41.968890497	42.271704931	1541.400	4838.200	0.1625	4306.641	258.398	MYLO	C6	MODEL	8
15	Spectrogram 1	1	47.967699656	48.084918147	2526.100	3639.300	0.0871	3359.180	258.398	MYSP	C1	MODEL	8
16	Spectrogram 1	1	53.973211239	54.192995908	1156.000	4024.700	0.1916	3014.648	1205.859	MYSP`	C1	MODEL	8
17	Spectrogram 1	1	57.784912021	57.980276172	1284.500	4153.100	0.1741	2583.984	947.461	MYSP	C1	MODEL	8
18	Spectrogram 1	1	58.209829049	58.307511124	1241.700	3767.800	0.0813	3186.914	1378.125	MYSP	C1	MODEL	8
19	Spectrogram 1	1	58.727544048	58.844762539	1455.700	3254.000	0.0929	2756.250	775.195	MYSP	C1	MODEL	8
