Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
1	Spectrogram 1	1	0.733573432	1.453318355	1779.821	6422.330	0.6153	5426.367	602.930	THAR	P1	LOLA	1
2	Spectrogram 1	1	1.615349023	1.884226001	1605.583	5299.113	0.2264	4909.570	1378.125	THAR	B3	LOLA	1
3	Spectrogram 1	1	3.003389865	3.288197566	1520.690	3378.629	0.2380	2670.117	602.930	THAR	B2	LOLA	1
4	Spectrogram 1	1	10.588500960	10.880381262	1607.034	4335.254	0.2322	2583.984	258.398	THAR	B2	LOLA	1
5	Spectrogram 1	1	13.173822627	13.476749528	1348.941	4410.000	0.2264	2756.250	689.062	THAR	B1	LOLA	1
6	Spectrogram 1	1	13.865268591	15.651538248	1772.864	4764.573	1.3235	4220.508	1550.391	MYME	C1	LOLA	1
7	Spectrogram 1	1	19.134100082	19.251513609	1245.176	3631.765	0.0813	2497.852	430.664	THAR	B1	LOLA	1
8	Spectrogram 1	1	19.564039050	21.419436789	1270.678	5859.966	1.5615	5598.633	1808.789	MYME	C1	LOLA	1
9	Spectrogram 1	1	22.155842292	22.523603692	934.322	3475.678	0.2961	2325.586	516.797	THAR	B2	LOLA	1
10	Spectrogram 1	1	23.126073683	23.414910961	1198.936	5243.312	0.2148	4651.172	2325.586	THAR	B2	LOLA	1
11	Spectrogram 1	1	24.530274796	24.895271073	1251.064	2762.766	0.2728	2325.586	430.664	THAR	B2	LOLA	1
12	Spectrogram 1	1	25.506238723	25.798482856	886.170	4795.745	0.1916	3100.781	1033.594	THAR	B2	LOLA	1
13	Spectrogram 1	1	27.141210938	28.631612401	1233.305	6070.235	1.3526	5770.898	1464.258	MYME	C1	LOLA	1
14	Spectrogram 1	1	29.280533875	29.993935688	1407.447	2867.021	0.5050	2411.719	344.531	MYLO	C2	LOLA	1
15	Spectrogram 1	1	32.792850286	34.208593419	1153.243	5166.527	1.1029	4392.773	861.328	MYME	C1	LOLA	1
16	Spectrogram 1	1	34.935965552	36.141699684	1285.426	6181.381	1.0391	5857.031	689.062	MYLO	C4	LOLA	1
17	Spectrogram 1	1	36.953127486	37.312593516	938.298	3231.915	0.2380	2411.719	430.664	THAR	B2	LOLA	1
18	Spectrogram 1	1	39.667470442	40.618672860	1303.191	2971.277	0.7488	2411.719	344.531	MYLO	C4	LOLA	1
19	Spectrogram 1	1	41.344143299	41.692548835	990.426	3127.660	0.2438	2583.984	430.664	THAR	B2	LOLA	1
20	Spectrogram 1	1	41.759598569	42.373455943	1668.085	5160.638	0.4934	4306.641	1119.727	MYME	C1	LOLA	1
21	Spectrogram 1	1	43.059206523	43.280416388	1772.340	7245.745	0.1974	6459.961	947.461	THAR	P2	LOLA	1
22	Spectrogram 1	1	43.689654637	44.817824947	1146.809	3805.319	0.9056	2842.383	775.195	MYLO	C4	LOLA	1
23	Spectrogram 1	1	45.851461202	46.221987725	1042.553	2762.766	0.2554	2325.586	430.664	THAR	B2	LOLA	1
24	Spectrogram 1	1	48.670451558	49.654835456	1251.064	4587.234	0.8649	3531.445	1464.258	MYLO	C4	LOLA	1
25	Spectrogram 1	1	49.898166307	50.644749600	2085.106	5681.915	0.6502	5598.633	1981.055	MYLO	C3	LOLA	1
26	Spectrogram 1	1	50.737424964	51.954079220	1592.500	5594.167	1.0507	5426.367	1550.391	MYME	C1	LOLA	1
27	Spectrogram 1	1	52.480086459	53.243260492	1459.574	4952.128	0.5863	4392.773	1981.055	MYLO	C4	LOLA	1
28	Spectrogram 1	1	53.613787015	53.917950579	1303.191	3388.298	0.2148	2497.852	344.531	THAR	B2	LOLA	1
29	Spectrogram 1	1	56.217432461	57.378784250	1042.553	4952.128	0.9056	4220.508	1981.055	MYLO	C4	LOLA	1
30	Spectrogram 1	1	57.539161402	58.302335435	886.170	5004.255	0.5631	3359.180	602.930	MYLO	C3	LOLA	1
