Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.677523531	1.661295935	1297.059	3994.941	0.8359	3337.646	473.730	HARU	C2	MODEL	15
8	Spectrogram 1	1	4.267561850	4.374951778	880.649	4461.882	0.0929	3445.312	667.529	HARU	C1	MODEL	15
9	Spectrogram 1	1	4.647908303	4.736459836	724.612	5343.882	0.0464	5124.902	1421.191	HARU	C1	MODEL	15
11	Spectrogram 1	1	4.951356193	5.046824515	857.177	4980.706	0.0697	4866.504	1894.922	HARU	C1	MODEL	15
12	Spectrogram 1	1	5.303539007	5.400573503	535.534	4980.706	0.0697	4888.037	1593.457	HARU	C1	MODEL	15
13	Spectrogram 1	1	5.581363781	5.660879362	926.812	5655.176	0.0464	5167.969	344.531	HARU	C1	MODEL	15
14	Spectrogram 1	1	5.954189968	6.064687170	650.037	4202.471	0.0697	3445.312	1485.791	HARU	C1	MODEL	15
15	Spectrogram 1	1	6.409859056	6.518553796	809.635	5914.588	0.0697	5124.902	1507.324	HARU	C1	MODEL	15
16	Spectrogram 1	1	6.755518422	6.855616511	594.022	5914.588	0.0929	5124.902	1701.123	HARU	C1	MODEL	15
17	Spectrogram 1	1	7.223415647	7.319494902	686.740	4825.059	0.0697	3682.178	882.861	HARU	C1	MODEL	15
19	Spectrogram 1	1	8.548447958	8.638723041	564.832	6744.706	0.0697	5340.234	1550.391	HARU	C1	MODEL	15
21	Spectrogram 1	1	9.787984531	9.890193518	796.821	7522.941	0.0697	5232.568	1464.258	HARU	C1	MODEL	15
23	Spectrogram 1	1	11.344519624	11.445354165	759.936	5136.353	0.0697	5017.236	1636.523	HARU	C1	MODEL	15
26	Spectrogram 1	1	13.109804173	13.194039719	822.866	7159.765	0.0697	5167.969	1658.057	HARU	C1	MODEL	15
27	Spectrogram 1	1	13.686380364	13.784733784	628.748	7056.000	0.0697	5232.568	559.863	HARU	C1	MODEL	15
28	Spectrogram 1	1	14.218331680	14.335380794	961.150	4825.059	0.0697	4069.775	968.994	HARU	C1	MODEL	15
30	Spectrogram 1	1	16.312375962	16.388922698	622.588	4254.353	0.0464	3294.580	366.064	HARU	C1	MODEL	15
33	Spectrogram 1	1	18.387902887	18.458020554	595.101	5084.471	0.0464	4909.570	1442.725	HARU	C1	MODEL	15
34	Spectrogram 1	1	18.821292907	18.935247962	559.225	6122.118	0.0929	5211.035	1356.592	HARU	C1	MODEL	15
36	Spectrogram 1	1	21.553932123	21.679988002	606.472	5810.824	0.0929	5189.502	538.330	HARU	C1	MODEL	15
38	Spectrogram 1	1	23.623674539	23.735736839	990.087	5188.235	0.0929	5060.303	1270.459	HARU	C1	MODEL	15
42	Spectrogram 1	1	29.460814680	29.529916915	920.030	4876.941	0.0464	4844.971	1399.658	HARU	C1	MODEL	15
46	Spectrogram 1	1	32.237683143	32.376026205	860.216	4773.176	0.0929	3940.576	1550.391	HARU	C1	MODEL	15
50	Spectrogram 1	1	37.408892749	37.518809397	1013.989	5032.588	0.0697	4974.170	1313.525	HARU	C1	MODEL	15
51	Spectrogram 1	1	37.661162752	37.755754474	818.545	5292.000	0.0929	5124.902	322.998	HARU	C1	MODEL	15
52	Spectrogram 1	1	37.768181151	38.379821086	1660.235	4361.541	0.5108	3273.047	968.994	HARU	C2	MODEL	15
53	Spectrogram 1	1	38.397970484	38.469926960	911.450	4928.824	0.0464	4780.371	1722.656	HARU	C1	MODEL	15
56	Spectrogram 1	1	49.437824062	49.577762254	857.592	4928.824	0.1161	4780.371	1399.658	HARU	C1	MODEL	15
57	Spectrogram 1	1	49.642300371	49.747962239	1121.523	5084.471	0.0929	4974.170	1636.523	HARU	C1	MODEL	15
58	Spectrogram 1	1	49.755489565	50.382040614	1556.471	4046.824	0.5108	3251.514	947.461	HARU	C2	MODEL	15
59	Spectrogram 1	1	50.345265360	50.448785706	686.350	5032.588	0.0697	4931.104	1894.922	HARU	C1	MODEL	15
64	Spectrogram 1	1	55.980398391	56.062281033	849.731	4825.059	0.0464	4242.041	1679.590	HARU	C1	MODEL	15
45	Spectrogram 1	1	32.169606060	36.306822490	2090.400	4922.500	3.8545	4866.504	215.332	MYLO	S1	MODEL	15
24	Spectrogram 1	1	12.770663619	13.721325947	2542.235	4956.000	0.8127	4866.504	1421.191	MYME	C1	MODEL	15
31	Spectrogram 1	1	16.378910934	17.890687271	2770.101	4566.608	1.3003	4285.107	1248.926	MYME	C1	MODEL	15
40	Spectrogram 1	1	26.454867333	27.436020187	2230.941	4706.930	0.7430	4457.373	1593.457	MYME	C1	MODEL	15
48	Spectrogram 1	1	35.923601695	37.358621176	1947.634	4657.899	1.2307	4177.441	1270.459	MYME	C1	MODEL	15
55	Spectrogram 1	1	40.930482310	41.813350247	2490.353	6743.100	0.7663	5254.102	279.932	MYME	C1	MODEL	15
65	Spectrogram 1	1	56.753092737	57.584069134	1764.000	5603.294	0.7430	5275.635	279.932	MYME	C1	MODEL	15
2	Spectrogram 1	1	1.399187395	1.485078300	1297.059	6590.500	0.0464	5124.902	1765.723	THAR	P1	MODEL	15
3	Spectrogram 1	1	1.505979542	1.591870447	882.000	7033.662	0.0697	5124.902	1722.656	THAR	P1	MODEL	15
4	Spectrogram 1	1	1.622674599	1.725360632	1400.824	6844.868	0.0929	5189.502	839.795	THAR	P1	MODEL	15
5	Spectrogram 1	1	1.760104177	1.865525325	1193.294	6381.529	0.0929	5232.568	775.195	THAR	P1	MODEL	15
6	Spectrogram 1	1	1.928933163	2.185901767	2957.294	6796.588	0.1858	5318.701	1098.193	THAR	P1	MODEL	15
7	Spectrogram 1	1	2.802915847	3.090297766	1608.353	4260.091	0.2090	3380.713	796.729	THAR	B2	MODEL	15
