Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.183243048	0.832922944	1529.274	5370.242	0.5341	4220.508	1894.922	MYAX	C2	LOLA	8
2	Spectrogram 1	1	5.507950609	8.318514447	1387.016	5405.806	2.0724	4392.773	1119.727	MYAX	C1	LOLA	8
3	Spectrogram 1	1	13.746743610	14.353129082	2435.756	6223.790	0.5166	5943.164	172.266	MYAX	C1	LOLA	8
4	Spectrogram 1	1	15.937608024	16.729847495	2116.123	6179.079	0.6908	5943.164	172.266	MYAX	C1	LOLA	8
5	Spectrogram 1	1	19.087703064	20.187210503	1565.931	5840.499	0.9636	5770.898	1636.523	MYAX	C1	LOLA	8
6	Spectrogram 1	1	28.680274332	29.793182160	1185.029	5459.597	0.9462	4478.906	1291.992	MYAX	C1	LOLA	8
7	Spectrogram 1	1	32.000134973	32.961873598	1844.039	5925.144	0.8591	5857.031	689.062	MYAX	C1	LOLA	8
8	Spectrogram 1	1	39.936607513	41.266438054	1569.395	5417.274	0.9056	4392.773	775.195	MYAX	C1	LOLA	8
9	Spectrogram 1	1	45.520221861	46.081056643	1608.630	3374.199	0.4702	2325.586	430.664	THAR	B2	LOLA	8
10	Spectrogram 1	1	50.429847103	50.962917787	1687.100	3138.790	0.4296	2239.453	258.398	THAR	B2	LOLA	8
11	Spectrogram 1	1	52.512154462	53.161834358	1490.925	3374.199	0.3889	2239.453	344.531	THAR	B2	LOLA	8
12	Spectrogram 1	1	55.884081724	56.489339063	1490.925	3413.434	0.4412	2153.320	172.266	THAR	B2	LOLA	8
13	Spectrogram 1	1	58.311786533	58.633850071	1294.751	3217.260	0.2090	1464.258	86.133	THAR	B2	LOLA	8
