Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.397868219	0.606275381	1820.219	7119.592	0.1683	5512.500	947.461	HARU	C1	LOLA	21
2	Spectrogram 1	1	0.671725564	0.773345585	2419.279	6912.226	0.0929	5340.234	861.328	HARU	C1	LOLA	21
3	Spectrogram 1	1	0.763011346	1.169992347	1912.382	3898.125	0.3367	3445.312	1033.594	HARU	C2	LOLA	21
4	Spectrogram 1	1	1.226329748	1.333116889	2695.768	7373.041	0.0929	5512.500	516.797	HARU	C1	LOLA	21
6	Spectrogram 1	1	1.569941081	1.712898060	2626.646	7211.755	0.1045	5340.234	689.062	HARU	C1	LOLA	21
7	Spectrogram 1	1	1.737011285	2.083208307	2027.586	3824.765	0.2844	3445.312	1119.727	HARU	C2	LOLA	21
8	Spectrogram 1	1	2.169326969	2.324340561	2903.135	7119.592	0.1393	5426.367	602.930	HARU	C1	LOLA	21
9	Spectrogram 1	1	2.358788026	3.624732358	1958.464	3893.887	1.0333	3531.445	1205.859	HARU	C2	LOLA	21
10	Spectrogram 1	1	3.644596049	3.773774042	2787.931	5967.555	0.1045	5254.102	1550.391	HARU	C1	LOLA	21
11	Spectrogram 1	1	4.971535584	5.085202481	806.426	4961.250	0.0987	4478.906	1378.125	HARU	C1	LOLA	21
12	Spectrogram 1	1	5.319454979	5.395239401	2718.809	6128.840	0.0580	5254.102	689.062	HARU	C1	LOLA	21
13	Spectrogram 1	1	6.007134293	6.125978047	5230.251	6405.329	0.0987	6115.430	689.062	THAR	P3	LOLA	21
14	Spectrogram 1	1	6.863153794	6.950994830	3110.502	8041.223	0.0639	5598.633	861.328	HARU	C1	LOLA	21
15	Spectrogram 1	1	6.203484843	6.263767906	3410.031	7926.019	0.0580	5943.164	1033.594	HARU	C1	LOLA	21
16	Spectrogram 1	1	7.217023778	7.695843539	3133.542	4469.906	0.4122	4048.242	516.797	MYLO	C2	LOLA	21
17	Spectrogram 1	1	8.568349058	8.661357213	2695.768	8502.038	0.0813	5598.633	775.195	HARU	C1	LOLA	21
18	Spectrogram 1	1	9.265910221	9.357196003	2810.972	8801.567	0.0639	5770.898	861.328	HARU	C1	LOLA	21
19	Spectrogram 1	1	9.655166574	9.930746292	3479.154	4262.539	0.2380	3962.109	258.398	MYLO	C1	LOLA	21
20	Spectrogram 1	1	15.322251366	15.687394494	3294.828	4861.599	0.3193	4651.172	861.328	MYLO	C1	LOLA	21
21	Spectrogram 1	1	18.363962511	18.748051744	2880.094	4285.580	0.3309	3875.977	430.664	MYLO	C1	LOLA	21
22	Spectrogram 1	1	22.602286589	22.965707343	2972.257	4446.865	0.3077	4048.242	516.797	MYLO	C1	LOLA	21
23	Spectrogram 1	1	34.267562882	34.365738157	2511.442	3156.583	0.0929	2928.516	172.266	THAR	B1	LOLA	21
24	Spectrogram 1	1	32.124930570	32.596860838	2672.727	5621.944	0.4122	5254.102	775.195	MYME	C1	LOLA	21
25	Spectrogram 1	1	37.283328749	37.593355932	3202.665	4216.458	0.2844	3962.109	344.531	MYLO	C1	LOLA	21
26	Spectrogram 1	1	38.005468301	38.382668041	4032.132	5921.473	0.3135	5254.102	430.664	MYLO	C1	LOLA	21
27	Spectrogram 1	1	43.030652945	43.354459115	3110.502	4285.580	0.2844	3962.109	430.664	MYLO	C1	LOLA	21
