Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.663864887	1.077529439	1592.232	5886.433	0.3541	5770.898	430.664	MYAX	C2	MODEL	3
2	Spectrogram 1	1	21.395560590	21.549016795	1109.737	3329.212	0.1335	2670.117	947.461	MYSP	C1	MODEL	3
3	Spectrogram 1	1	22.089449517	22.246241726	1543.982	5056.100	0.1277	4392.773	1894.922	MYAX	C4	MODEL	3
4	Spectrogram 1	1	23.086567391	23.194982096	433.882	3232.713	0.0639	1808.789	516.797	HARU	C3	MODEL	3
5	Spectrogram 1	1	23.401121456	23.517881612	964.989	4728.446	0.0755	3789.844	1808.789	MYAX	C3	MODEL	3
6	Spectrogram 1	1	24.323526688	24.410262804	530.744	5962.664	0.0639	5598.633	344.531	HARU	C1	MODEL	3
7	Spectrogram 1	1	24.693823182	24.797239320	530.744	6269.761	0.0755	5598.633	172.266	HARU	C1	MODEL	3
8	Spectrogram 1	1	24.900655458	25.751336595	1302.735	3862.300	0.6850	2411.719	430.664	HARU	C2	MODEL	3
9	Spectrogram 1	1	25.748000590	25.877024343	627.243	5449.266	0.1103	5340.234	1205.859	HARU	C1	MODEL	3
10	Spectrogram 1	1	26.094678672	26.188548739	938.320	2219.475	0.0813	1808.789	430.664	HARU	C3	MODEL	3
11	Spectrogram 1	1	27.495500293	27.629540971	888.962	5259.190	0.1045	5081.836	3014.648	MYAX	C3	MODEL	3
12	Spectrogram 1	1	30.928391433	31.069104120	946.267	4843.667	0.0987	3359.180	1291.992	MYAX	C3	MODEL	3
13	Spectrogram 1	1	32.314457839	32.442281880	1302.735	4736.124	0.0697	3789.844	86.133	MYAX	C3	MODEL	3
14	Spectrogram 1	1	40.796752144	40.942464543	964.989	4768.270	0.0871	4306.641	1033.594	MYAX	C3	MODEL	3
15	Spectrogram 1	1	42.133418134	42.260186303	1013.239	4728.446	0.0813	4220.508	1981.055	MYAX	C3	MODEL	3
16	Spectrogram 1	1	46.823306399	46.974515503	851.725	4873.195	0.0987	3875.977	1722.656	MYAX	C3	MODEL	3
