Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.741163987	1.255908411	1884.919	4096.973	0.4296	3445.312	1119.727	HARU	C4	LOLA	9
2	Spectrogram 1	1	1.645638409	2.123763082	2809.597	3769.839	0.3715	3445.312	344.531	HARU	C4	LOLA	9
3	Spectrogram 1	1	2.903698018	3.411372100	3094.113	4694.516	0.2728	3962.109	86.133	MYLO	C1	LOLA	9
4	Spectrogram 1	1	5.136948689	6.137898250	1280.323	4587.823	0.6269	3703.711	1636.523	MYLO	C2	LOLA	9
5	Spectrogram 1	1	8.297556913	8.949118420	2550.000	4680.789	0.4354	3962.109	430.664	MYLO	C1	LOLA	9
6	Spectrogram 1	1	11.959087416	12.572358241	2166.316	3829.737	0.5515	3359.180	430.664	HARU	C4	LOLA	9
7	Spectrogram 1	1	13.392528644	13.610201176	2822.727	4139.211	0.1509	3789.844	344.531	MYSP	C1	LOLA	9
8	Spectrogram 1	1	14.131258846	14.292486934	3094.737	4293.947	0.0929	4048.242	689.062	MYSP	C1	LOLA	9
9	Spectrogram 1	1	17.532622915	17.882877036	1702.105	3945.789	0.3019	3273.047	947.461	THAR	B2	LOLA	9
10	Spectrogram 1	1	19.055950362	19.467359964	1508.684	4023.158	0.3483	3273.047	1205.859	THAR	B2	LOLA	9
11	Spectrogram 1	1	22.728480431	23.419304572	2301.670	4410.000	0.5863	3875.977	689.062	MYLO	C2	LOLA	9
12	Spectrogram 1	1	21.805184503	21.972113329	2117.537	6122.443	0.1045	5254.102	1033.594	HARU	C1	LOLA	9
13	Spectrogram 1	1	22.326002440	22.466222654	2117.537	7365.344	0.0755	6287.695	1981.055	HARU	C1	LOLA	9
14	Spectrogram 1	1	27.146906934	27.264118821	1565.136	8101.879	0.0464	6459.961	2497.852	HARU	C1	LOLA	9
15	Spectrogram 1	1	27.868039462	27.991928502	1334.969	8193.946	0.0813	6029.297	2670.117	HARU	C1	LOLA	9
16	Spectrogram 1	1	24.009713162	24.298811801	3752.368	6808.421	0.2206	5857.031	1378.125	HARU	C1	LOLA	9
17	Spectrogram 1	1	24.359967283	24.593470030	3365.526	8510.526	0.1509	7665.820	2067.188	HARU	C1	LOLA	9
18	Spectrogram 1	1	23.448194651	23.626101506	3094.737	6112.105	0.1045	5512.500	1291.992	HARU	C1	LOLA	9
19	Spectrogram 1	1	29.759794327	30.033087344	2623.904	4371.316	0.2438	3962.109	516.797	MYAX	C1	LOLA	9
20	Spectrogram 1	1	33.298685438	33.425551345	2854.071	6490.710	0.0813	5512.500	861.328	HARU	C1	LOLA	9
21	Spectrogram 1	1	33.565771559	33.705709474	1547.368	7089.144	0.0813	4995.703	1205.859	HARU	C1	LOLA	9
22	Spectrogram 1	1	32.998213551	33.151788071	2900.104	9022.547	0.1161	7579.688	3100.781	HARU	C1	LOLA	9
23	Spectrogram 1	1	33.636395608	34.135211730	2746.579	5450.000	0.3831	4823.438	1033.594	MYLO	C1	LOLA	9
24	Spectrogram 1	1	38.845730708	39.112590990	1276.579	7195.263	0.2090	6287.695	3014.648	HARU	C1	LOLA	9
25	Spectrogram 1	1	39.223782775	39.507321825	464.211	8278.421	0.2322	7924.219	3186.914	HARU	C1	LOLA	9
26	Spectrogram 1	1	40.450238032	40.639096439	425.526	7600.000	0.1393	6287.695	3100.781	HARU	C1	LOLA	9
27	Spectrogram 1	1	40.875169449	40.999387378	2553.158	7850.000	0.1045	6976.758	2497.852	HARU	C1	LOLA	9
28	Spectrogram 1	1	41.260688072	41.418137371	232.105	7450.000	0.1161	5512.500	2842.383	HARU	C1	LOLA	9
